Site,SDCA,Installed CAT,Today_DV,DV_30_Avg,DV_Trend,Today_CA,CA_30_Avg,CA_Trend,Status,B1_Status,B28_Status,B41_Status,Recommendation
Odithala_WL5142,PARKAL,CAT-A,2.592347038909785,4.343597133023034,Decrease,100.0,99.5404348666426,Increase,Low Sector: S0 (B28),Not Applicable,Low Sector: S0 (B28),Not Applicable,Advise Marketing Campaign
BANDLAPAHAD_577852(F)_UVTSWGL00154,MULUGU,CAT-B,3.177938051521768,4.0552806349900985,Decrease,100.0,99.32312499999999,Increase,"Low Sector: S0,S1 (B1)","Low Sector: S0,S1 (B1)",Healthy,Not Applicable,Advise Marketing Campaign
Papaiahpeta_WL2200,NARSAMPET,CAT-B,4.341084294021126,7.637854230869548,Decrease,95.86833333333334,95.38637678063432,Increase,Zero Sector: S1 (B1) | Low Sector: S1 (B28),Zero Sector: S1 (B1),Low Sector: S1 (B28),Not Applicable,Advise Marketing Campaign
Narsapuram_WL2193,MULUGU,CAT-B,5.497832683846351,7.065086458592352,Decrease,100.0,99.81224641219428,Increase,"Low Sector: S0,S1 (B1) | Low Sector: S2 (B28)","Low Sector: S0,S1 (B1)",Low Sector: S2 (B28),Not Applicable,Advise Marketing Campaign
Varikole_WL2222,PARKAL,CAT-B,6.1514649037271605,6.518059089997148,Decrease,100.0,90.48811586684073,Increase,Zero Sector: S0 (B28),Healthy,Zero Sector: S0 (B28),Not Applicable,Advise Marketing Campaign
Peddakorpole_WL2238,NARSAMPET,CAT-B,6.430158693343377,4.685299088495461,Increase,91.77999999999999,88.88115932741022,Increase,"Low Sector: S2 (B1) | Low Sector: S0,S1 (B28)",Low Sector: S2 (B1),"Low Sector: S0,S1 (B28)",Not Applicable,
Buddaram_indus_WL5068,MULUGU,CAT-B,6.851695453748093,8.151568656942482,Decrease,100.0,99.80086963598278,Increase,Low Sector: S2 (B1) | Low Sector: S1 (B28),Low Sector: S2 (B1),Low Sector: S1 (B28),Not Applicable,Advise Marketing Campaign
Banzipet_GTL_WL5074,NARSAMPET,CAT-B,7.379975395277129,9.176276292620829,Decrease,100.0,99.5926812323971,Increase,Healthy,Healthy,Healthy,Not Applicable,Advise Marketing Campaign
WL_AzamNgr_Indus_WL5037,PARKAL,CAT-B,8.471602476201927,9.110136288311315,Decrease,97.375,98.77347833384638,Decrease,Low Sector: S0 (B1),Low Sector: S0 (B1),Healthy,Not Applicable,Advise Marketing Campaign
Appalraopet_WL5050,NARSAMPET,CAT-B,8.850360265001639,5.390584732654184,Increase,85.88,79.85152183974996,Increase,Low Sector: S0 (B1),Low Sector: S0 (B1),Healthy,Not Applicable,
Lavval_577999_UVTSWGL00007,ETURUNAGARAM,CAT-B,9.32118317577987,11.244528007693562,Decrease,43.285,57.46623195040052,Decrease,"Low Sector: S0,S2 (B1) | Zero Sector: S0,S1,S2 (B28)","Low Sector: S0,S2 (B1)","Zero Sector: S0,S1,S2 (B28)",Not Applicable,
Pathepalle_WL2237,MULUGU,CAT-B,9.97358181048182,9.988458083135368,Decrease,100.0,99.87036235643471,Increase,Low Sector: S2 (B28),Healthy,Low Sector: S2 (B28),Not Applicable,Advise Marketing Campaign
Varikolpally_278011_UVTSWGL00005,PARKAL,CAT-B,10.492910265922532,7.673623253311951,Increase,100.0,99.46398534138997,Increase,Low Sector: S1 (B1) | Low Sector: S0 (B28),Low Sector: S1 (B1),Low Sector: S0 (B28),Not Applicable,
Nachinapally_WL5062,NARSAMPET,CAT-B,10.562158289365456,6.424562325483795,Increase,98.32333333333334,94.03528965825616,Increase,Low Sector: S2 (B28),Healthy,Low Sector: S2 (B28),Not Applicable,
Garimillapalle_WL2154,PARKAL,CAT-B,10.582541619427477,17.52115864486742,Decrease,100.0,99.6631159199148,Increase,Low Sector: S1 (B1) | Low Sector: S2 (B28),Low Sector: S1 (B1),Low Sector: S2 (B28),Not Applicable,Advise Marketing Campaign
